year,team,wins,losses,ties,win_loss_perc,points,points_opp,points_diff,mov,turnovers,total_yards,pass_yds,rush_yds,penalties,exp_pts_tot
2007,3,7,9,,0.438,252,354,-102,-6.4,21,4434,2634,1800,78,-172.71
2007,4,4,12,,0.25,268,355,-87,-5.4,25,4715,3014,1701,63,-172.29
2007,2,1,15,,0.063,267,437,-170,-10.6,29,4600,3031,1569,91,-153.67
2007,7,10,6,,0.625,393,269,124,7.8,22,5239,3071,2168,80,-18.96
2007,8,10,6,,0.625,402,382,20,1.3,29,5621,3726,1895,114,-120.58
2007,6,7,9,,0.438,380,385,-5,-0.3,30,5568,4012,1556,90,-57.26
2007,5,5,11,,0.313,275,384,-109,-6.8,40,4832,3035,1797,107,-231.17
2007,9,13,3,,0.813,450,262,188,11.8,19,5739,4033,1706,67,52.46
2007,11,11,5,,0.688,411,304,107,6.7,21,5719,3328,2391,76,-1.73
2007,10,10,6,,0.625,301,297,4,0.3,34,4987,2878,2109,101,-172.57
2007,12,8,8,,0.5,379,384,-5,-0.3,38,5337,3751,1586,82,-86.53
2007,16,11,5,,0.688,412,284,128,8.0,24,5044,3005,2039,94,-114.6
2007,14,7,9,,0.438,320,409,-89,-5.6,29,5541,3584,1957,90,-72.86
2007,13,4,12,,0.25,226,335,-109,-6.8,33,4429,3181,1248,101,-191.37
2007,15,4,12,,0.25,283,398,-115,-7.2,37,4717,2631,2086,120,-187.89
2007,18,13,3,,0.813,455,325,130,8.1,24,5851,4105,1746,104,19.43
2007,20,10,6,,0.625,373,351,22,1.4,34,5302,3154,2148,77,-163.79
2007,19,9,7,,0.563,334,310,24,1.5,29,5334,3463,1871,90,-198.87
2007,17,8,8,,0.5,336,300,36,2.3,27,5729,3755,1974,83,-37.49
2007,21,13,3,,0.813,435,291,144,9.0,24,5931,4334,1597,113,-41.4
2007,22,8,8,,0.5,365,311,54,3.4,30,5379,2745,2634,86,-52.29
2007,24,7,9,,0.438,346,444,-98,-6.1,36,5166,3878,1288,100,-124.39
2007,23,7,9,,0.438,334,348,-14,-0.9,34,4692,3362,1330,111,-194.23
2007,27,9,7,,0.563,334,270,64,4.0,20,5229,3357,1872,81,-156.35
2007,25,7,9,,0.438,267,347,-80,-5.0,29,4559,2735,1824,95,-173.41
2007,26,7,9,,0.438,379,388,-9,-0.6,30,5780,4314,1466,68,-50.3
2007,28,4,12,,0.25,259,414,-155,-9.7,24,4813,3293,1520,105,-199.45
2007,30,10,6,,0.625,393,291,102,6.4,24,5583,3964,1619,59,-107.06
2007,32,8,8,,0.5,404,399,5,0.3,36,5505,4065,1440,137,-176.41
2007,31,5,11,,0.313,219,364,-145,-9.1,34,3797,2320,1477,97,-316.28
2007,29,3,13,,0.188,263,438,-175,-10.9,37,4760,3233,1527,94,-194.74
2008,2,11,5,0.0,0.688,345,317,28,,13,5529,3632,1897,81,-94.02
2008,1,11,5,0.0,0.688,410,309,101,,21,5847,3569,2278,57,-13.1
2008,4,9,7,0.0,0.563,405,356,49,,31,5307,3303,2004,77,-71.83
2008,3,7,9,0.0,0.438,336,342,-6,,30,4882,3040,1842,71,-177.66
2008,7,12,4,0.0,0.75,347,223,124,,25,4991,3301,1690,95,-199.86
2008,5,11,5,0.0,0.688,385,244,141,,21,5184,2808,2376,103,-196.15
2008,6,4,11,1.0,0.281,204,364,-160,,26,3926,2406,1520,75,-273.1
2008,8,4,12,0.0,0.25,232,350,-118,,26,3985,2380,1605,100,-217.96
2008,10,13,3,0.0,0.813,375,234,141,,17,5018,2819,2199,108,-76.91
2008,9,12,4,0.0,0.75,377,298,79,,17,5368,4094,1274,86,13.94
2008,12,8,8,0.0,0.5,366,394,-28,,32,6113,4267,1846,80,-76.35
2008,11,5,11,0.0,0.313,302,367,-65,,24,5106,3332,1774,104,-75.31
2008,16,8,8,0.0,0.5,439,347,92,,20,5584,3858,1726,95,37.86
2008,14,8,8,0.0,0.5,370,448,-78,,30,6333,4471,1862,77,40.33
2008,15,5,11,0.0,0.313,263,388,-125,,23,4356,2369,1987,109,-231.49
2008,13,2,14,0.0,0.125,291,440,-149,,24,4939,3129,1810,78,-123.89
2008,20,12,4,0.0,0.75,427,294,133,,13,5695,3177,2518,102,-47.01
2008,17,9,6,1.0,0.594,416,289,127,,26,5608,3911,1697,74,-106.76
2008,18,9,7,0.0,0.563,362,365,-3,,33,5512,3789,1723,120,-88.66
2008,19,8,8,0.0,0.5,265,296,-31,,18,5120,3025,2095,83,-173.59
2008,22,10,6,0.0,0.625,379,333,46,,31,5288,2956,2332,90,-102.8
2008,23,9,7,0.0,0.563,375,350,25,,27,4734,3061,1673,78,-165.89
2008,21,6,10,0.0,0.375,419,380,39,,21,5618,3813,1805,110,-12.53
2008,24,0,16,0.0,0.0,268,517,-249,,29,4292,2960,1332,88,-180.57
2008,25,12,4,0.0,0.75,414,329,85,,19,5595,3158,2437,94,-47.15
2008,28,11,5,0.0,0.688,391,325,66,,21,5779,3336,2443,71,-18.27
2008,27,9,7,0.0,0.563,361,323,38,,26,5456,3619,1837,95,-192.43
2008,26,8,8,0.0,0.5,463,393,70,,26,6571,4977,1594,86,51.85
2008,32,9,7,0.0,0.563,427,426,1,,30,5852,4674,1178,107,-42.91
2008,31,7,9,0.0,0.438,339,381,-42,,35,4978,3379,1599,98,-133.8
2008,30,4,12,0.0,0.25,294,392,-98,,27,4385,2617,1768,79,-125.55
2008,29,2,14,0.0,0.125,232,465,-233,,31,4596,2947,1649,97,-238.05
2009,1,10,6,,0.625,427,285,142,8.9,22,6357,4436,1921,81,22.9
2009,4,9,7,,0.563,348,236,112,7.0,30,5136,2380,2756,88,-176.01
2009,2,7,9,,0.438,360,390,-30,-1.9,29,5401,3170,2231,78,-80.15
2009,3,6,10,,0.375,258,326,-68,-4.3,30,4382,2515,1867,107,-206.59
2009,6,10,6,,0.625,305,291,14,0.9,25,4946,2890,2056,114,-130.3
2009,5,9,7,,0.563,391,261,130,8.1,22,5619,3419,2200,115,-66.23
